Material,prototype,Midgap,EgapHSE06+SOC/eV,Lattice a,xx,yy,zz,DOS_n,DOS_p,QC_n,QC_p,cutoff_n,cutoff_p
TiO2,CdI2,-5,4.01,2.97,2.01,2.01,1.15,0.749,2.744,157.027,575.507,0.087,0.032
TiO2,MoS2,-7.5,2.52,2.86,2.03,2.03,1.17,1.66,5.883,375.453,1330.597,0.021,0.013
TiS2,MoS2,-4.5,1.684,3.33,4.968,4.968,1.616,2.616,1.903,436.445,317.49,0.03,0.017
TiSe2,MoS2,-4,1.36,3.47,3.91,3.91,1.3,2,3.107,307.292,477.378,0.038,0.045
ZrO2,CdI2,-5,6.32,3.23,1.72,1.72,1.15,3.179,3.78,563.722,670.296,0.024,0.016
ZrS2,CdI2,-2,2.01,3.68,2.92,2.92,1.25,1.013,0.383,138.386,52.295,0.091,0.266
ZrSe2,CdI2,-1.5,0.89,3.75,3.7,3.7,1.29,0.848,0.274,111.535,36.086,0.117,0.443
ZrO2,MoS2,-5,3.13,3.13,1.81,1.81,1.17,1.232,8.254,232.649,1558.675,0.033,0.01
ZrSe2,MoS2,-3,1.5,3.7,2.99,2.99,1.3,4.142,1.539,559.74,207.977,0.026,0.028
ZrTe2,MoS2,-1.5,0.9,3.93,4.49,4.49,1.35,2.12,1.044,253.94,125.053,0.046,0.059
HfO2,CdI2,-4,6.58,3.22,1.67,1.67,1.15,1.945,5.032,347.046,897.86,0.041,0.01
HfS2,CdI2,-2.5,2.01,3.63,2.76,2.76,1.25,0.877,0.341,123.201,47.82,0.102,0.306
HfSe2,CdI2,-2.5,1.07,3.75,3.42,3.42,1.28,0.832,0.264,109.39,34.666,0.117,0.456
HfO2,MoS2,-5,3.4,3.09,1.73,1.73,1.17,3.718,7.473,720.397,1447.964,0.021,0.012
HfS2,MoS2,-4,1.89,3.52,2.55,2.55,1.27,3.936,2.5,587.692,373.28,0.022,0.028
HfSe2,MoS2,-4,1.53,3.65,2.99,3,1.29,2.356,1.601,327.167,222.323,0.033,0.037
HfTe2,MoS2,-1.8,0.7,3.89,4.17,4.17,1.36,1.581,0.421,193.291,51.495,0.053,0.193
GeO2,CdI2,-5,5.74,2.87,1.59,1.59,1.15,0.111,3.754,24.841,843.16,0.394,0.02
GeS2,CdI2,-2.5,1.58,3.41,2.9,2.9,1.26,0.44,1.835,70.036,291.949,0.193,0.087
GeO2,MoS2,-6.5,2.99,2.78,1.78,1.78,1.17,0.101,2.987,24.13,715.032,0.448,0.014
SnO2,CdI2,-5,4.57,3.18,1.64,1.63,1.15,0.132,6.915,24.149,1265.079,0.394,0.008
SnS2,CdI2,-2.5,2.53,3.65,2.57,2.58,1.25,0.639,3.223,88.666,447.563,0.149,0.056
SnSe2,CdI2,-1.5,1.49,3.82,3.23,3.23,1.29,0.621,1.325,78.68,167.984,0.163,0.071
SnO2,MoS2,-7,1.96,3.05,1.87,1.87,1.18,0.118,4.808,23.567,956.191,0.443,0.012
SnS2,MoS2,-3,1.59,3.56,2.63,2.63,1.29,0.699,0.803,102.081,117.277,0.143,0.11
PbO2,CdI2,-5,2.6,3.09,1.98,1.98,1.16,0.161,17.98,31.195,3483.794,0.308,0.022
BN,BN,0,5.64,2.5,2.05,1.12,1.24,0.337,0.272,99.872,80.365,0.16,0.125
CF,CH,-4,5,2.58,1.54,1.54,1.21,0.193,0.383,53.78,106.476,0.296,0.153
P4,P,-2.5,1.6,,3.72,3.49,1.23,0.372,0.466,69.284,86.941,0.185,0.125
CH,CH,0,4.36,2.18,1.55,1.55,1.2,0.312,0.204,121.651,79.375,0.131,0.203
,,,,,,,,,,,,,
NiO2,CdI2,-7,3.17,2.76,3.34,3.34,1.16,1.361,1.978,330.537,480.383,0.059,0.039
PdO2,CdI2,-5,3.21,3.01,3.01,3.01,1.15,2.778,2.536,567.256,517.841,0.029,0.01
PdS2,CdI2,-2.5,1.8,3.49,5.1,5.1,1.25,1.265,0.772,192.141,117.183,0.084,0.099
PtO2,CdI2,-3,3.54,3.09,2.41,2.41,1.15,4.17,5.416,807.977,1049.401,0.019,0.01
PtS2,CdI2,-2,2.7,3.53,3.9,3.9,1.24,1.468,9.437,217.95,1401.084,0.073,0.025
PdSe2,CdI2,-1.8,0.97,3.67,6.64,6.64,1.27,0.952,0.442,130.763,60.739,0.122,0.201
NiS2,CdI2,-2.5,0.98,3.29,6.16,6.15,1.25,2.314,0.323,395.504,55.189,0.055,0.21
PtSe2,CdI2,-1,1.21,3.69,4.76,4.76,1.27,1.229,1.422,166.986,193.209,0.095,0.05
Ga2Se2,GaS,-1,2.81,3.77,3.79,3.79,1.65,1.035,10.24,134.722,1332.898,0.242,0.014
Ga2S2,GaS,-1,3.25,3.6,3.34,3.34,1.56,0.878,22.84,125.363,3260.4,0.093,0.003
CdI2,CdI2,-2,3.15,4.3,2.99,2.99,1.65,1.227,0.811,122.769,81.195,0.105,0.184
,,,,,,,,,,,,,
MoS2,MoS2,-3,2.24,3.16,4.55,4.55,1.28,0.408,1.225,75.553,226.956,0.129,0.141
WS2,MoS2,-2,2.28,3.16,4.12,4.11,1.28,1.055,0.609,195.46,112.867,0.129,0.24
WSe2,MoS2,-2,1.93,3.28,4.58,4.57,1.31,0.912,0.256,156.743,44.039,0.07,0.242
WO2,MoS2,-4,2,2.81,3.15,3.15,1.17,0.22,0.154,51.522,36.152,0.157,0.27
MoO2,MoS2,-5,1.56,2.82,3.54,3.54,1.17,0.26,0.168,60.393,39.176,0.155,0.221
MoTe2,MoS2,-1,1.44,3.51,5.98,5.98,1.36,0.646,0.472,96.961,70.952,0.13,0.153
WTe2,MoS2,0,1.3,3.51,5.6,5.6,1.36,1.97,0.317,295.823,47.587,0.142,0.233
CrS2,MoS2,-3.5,1.4,3,6.48,6.47,1.28,0.593,0.461,121.794,94.845,0.096,0.167
CrSe2,MoS2,-2.5,1.15,3.16,7.76,7.73,1.31,0.738,0.435,136.785,80.593,0.104,0.146
CrO2,MoS2,-5,0.99,2.59,5.02,5.01,1.18,0.309,0.333,85.109,91.866,0.112,0.157