,L,XX,YY,ZZ,Gap (eV) EPFL,Gap (eV) Declan
Ag2Br2,23.19293429,2.371907,2.357681,1.277652,1.3,1.2773
Ag2I2,25.00626234,1.983995,1.983995,1.126344,2.2,0.188
AgNO2,22.08897903,1.401611,1.631278,1.134446,1.6,1.6395
AgO4Cl,21.73232921,1.362408,1.362408,1.121506,2.9,2.8784
Al2O2Cl2,25.03790585,1.732112,1.574956,1.271521,5.8,5.7794
As4,22.46345804,5.041609,5.955223,1.286999,0.7,0.7572
Au2Br2,23.836417,2.204141,2.204141,1.270922,2,2.1242
Au2I2,24.10142345,2.302,2.302,1.327199,2,2.1957
Au2Se2,22.6117146,3.607368,2.622977,1.215686,1.2,1.1895
Ba2H2I2,25.34577052,2.100405,2.100405,1.364485,3.4,3.3598
Bi2,21.60205411,7.352065,7.352065,1.282933,0.6,0.5479
Bi2O2Br2,25.56751157,2.961099,2.961099,1.367452,2.4,2.4156
Bi2O2Cl2,25.19153648,2.635844,2.635844,1.322516,2.7,2.7296
Bi2O2I2,26.10250227,3.600718,3.600718,1.431834,1.5,1.5135
Bi2Se3,26.8125475,7.236509,7.236509,1.497134,0.9,0.8661
Bi2Te2S,26.85314004,8.332655,8.332655,1.539096,1,0.9256
Bi2Te2Se,27.05449803,9.069479,9.069479,1.551259,0.9,0.8572
Bi2Te3,27.40720402,10.289733,10.289733,1.567139,1,0.9387
Bi2TeSe2,27.05815051,8.620098,8.620098,1.51419,1.1,1.0804
BiTeCl,23.28643679,3.544408,3.544408,1.284069,1.8,1.7704
BiTeI,23.72871646,4.224326,4.224326,1.339999,1.6,1.5179
Ca(OH)2,24.16067325,1.340989,1.340989,1.155767,3.7,3.7075
Ca2H2Br2,25.23894121,1.941656,1.941656,1.32238,4.2,4.212
Ca2H2I2,24.97031926,2.234204,2.234204,1.387297,3.7,3.8368
Cd(OH)2,24.0671465,1.51552,1.51552,1.168795,2.3,2.2749
Cr2S2Br2,41.4175331,2.591309,5.451841,1.193339,0.4,0.247
Cu4Te2,39.11531978,4.616688,4.725656,1.204533,0.2,0.0481
Ga2Te2Cl2,30.30631883,2.481494,2.060641,1.22819,2.3,2.2845
Hf2N2Br2,25.96069017,2.800552,2.538614,1.34799,2,2.1121
Hf2N2Cl2,26.29024355,2.632469,2.632469,1.364744,2.4,2.3621
Hf2N2I2,27.0359628,3.439076,3.439076,1.48487,1,1.0138
In2O2Br2,41.2210444,1.785463,1.581994,1.195531,2.3,2.2928
In2Se3,41.5398723,3.134895,2.946064,1.251681,1,1.0671
K2Ag2Se2,25.12179738,3.458826,3.458826,1.417,0.6,0.5647
K2Tl2O2,22.89819312,2.18334,1.89338,1.320194,1.5,1.5406
La2GeI2,27.22954542,8.30342,8.30342,1.494623,0.4,0.4302
La2O2Br2,25.39238124,2.140316,2.140316,1.337627,4,4.0341
La2O2I2,26.0149981,2.401775,2.401775,1.390072,3.4,3.376
LaBr2,38.84730582,2.293252,2.293252,1.152631,0.6,0.473
Li2(OH)2,23.57841813,1.22236,1.22236,1.121788,3.9,3.9414
LiAlTe2,24.4026656,2.678694,2.678694,1.336581,0.9,0.8718
LiAuI4,23.48926085,1.946485,2.886463,1.296606,1,0.9255
LiBH4,21.55562768,1.245098,1.248832,1.111534,6.4,6.4098
Lu2CCl2,26.10180504,3.789525,3.789525,1.363666,0.9,0.9582
Lu2O2Br2,25.30538003,2.15685,2.15685,1.334269,4.4,4.33
Lu2O2I2,25.99305837,2.483403,2.483403,1.386855,3.3,3.3007
Mg(OH)2,23.93669318,1.319406,1.319406,1.159608,3.3,4.3286
Na2(OH)2,39.60787431,1.200219,1.200207,1.095611,2.8,2.7804
NaCN,19.8894857,1.160888,1.214443,1.091607,4.8,4.8617
P2,21.26314183,3.298733,3.298733,1.213855,1.9,1.9198
Pb2Br2F2,25.37414175,2.430004,2.430004,1.341099,3,3.038
Pb2Cl2F2,25.11995259,2.182657,2.182657,1.301396,3.5,3.5257
Pb2I2F2,25.89874282,2.84626,2.84626,1.39805,2.3,2.3219
Pb2O2,22.34899991,2.065399,2.065399,1.276404,2.4,2.4907
PbF4,24.02287018,1.32903,1.32903,1.147202,2.5,2.5458
Pd2Cl4,22.33998547,2.146863,2.876819,1.198722,0.9,0.8538
Pd2S4,21.24551392,3.509269,3.531282,1.173062,1.2,1.1358
Rb2Cl2,20.02688838,1.249362,1.249362,1.11618,4.6,4.6339
Sb2,21.5154632,4.31684,4.31684,1.267133,1.2,1.2805
Sb2Te2Se,27.04565692,11.803648,11.803648,1.547217,0.7,0.639
Sb2Te3,27.46370342,13.827153,13.827153,1.562536,0.7,0.654
Sb2TeSe2,27.24612475,11.195275,11.195275,1.508908,0.8,0.7516
Sc2CCl2,35.80839436,3.097935,3.097935,1.23694,0.9,0.8848
Sc2O2Br2,25.77213459,2.240951,1.894571,1.340586,3.2,3.2341
Si2H2,38.72311159,1.858266,1.858266,1.104159,2.2,2.1894
SnF4,38.7828889,1.148888,1.148888,1.07735,3.9,3.9779
Sr2Br2F2,25.1860558,1.700036,1.700036,1.290152,5.3,5.2702
Sr2H2Br2,24.9988658,1.881199,1.881199,1.32241,4.4,4.3459
Sr2H2I2,25.83258063,2.072114,2.072114,1.364756,3.9,3.9766
Sr2I4,38.66145043,1.428035,1.485834,1.149323,3.8,4.0134
Ti2N2Br2,40.49049889,3.455485,2.84498,1.200431,0.6,0.5965
Ti2N2Cl2,40.22539437,3.114053,2.709924,1.177319,0.6,0.5993
Tl2F2,23.03088088,1.767694,1.767694,1.265398,3.6,3.6346
Tl2S,23.38118298,3.021972,3.021972,1.350191,1.4,1.3922
V2Cl4,36.61965347,1.586978,1.588579,1.119777,1.4,1.08503
Y2O2Cl2,36.33386562,1.6914,1.6914,1.219341,4.4,4.3814
Zr2I4,39.39310929,6.016941,2.49343,1.185413,0.4,0.4388
Zr2N2Br2,40.96527916,2.253061,2.07872,1.199232,1.8,1.806
Zr2N2Cl2,41.23951593,2.17328,2.17328,1.206783,1.9,1.9027
Zr2N2I2,41.33087278,2.602671,2.219819,1.232155,1.3,1.3017
ZrNBr,22.56454616,2.603728,2.603728,1.238772,2.8,2.8116
ZrNCl,37.48457286,1.83142,1.83142,1.118327,3.3,3.2448